Bag ID,Enzyme,nmol_per_ml,SampleID,wet.wt,dry.wt,perc.moist,perc.dry,enz.raw,enz.wt,volume,activity
QR73,bxyl,0.166933826,QR73,2.62,1.152537313,0.428571428,0.571428572,0.2944,0.168228572,125,124.0379564
AS49,bxyl,0.269710544,AS49,4.02,10.49573529,0.826086956,0.173913044,0.4007,0.069686957,125,483.7894981
CO54,bxyl,0.420972988,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,516.6133025
QR73,bcell,1.72797687,QR73,2.62,1.152537313,0.428571428,0.571428572,0.2944,0.168228572,125,1283.950201
AS49,bcell,2.155232787,AS49,4.02,10.49573529,0.826086956,0.173913044,0.4007,0.069686957,125,3865.918529
CO54,bcell,2.541698422,CO54,3.93,8.543056604,0.647058824,0.352941176,0.2886,0.101858824,125,3119.143637
CO165,phos,5.533853905,CO165,4.01,4.163823529,0,1,0.1896,0.1896,125,3648.374146
CO25,phos,5.850242047,CO25,4.24,7.25877551,0.529411765,0.470588235,0.3952,0.185976471,125,3932.111691
AS40,phos,3.174488444,AS40,3.92,3.813664122,0.5,0.5,0.1883,0.09415,125,4214.668673
CO165,bglu,13.57533155,CO165,4.01,4.163823529,0,1,0.1896,0.1896,125,8949.981246
CO25,bglu,6.578775976,CO25,4.24,7.25877551,0.529411765,0.470588235,0.3952,0.185976471,125,4421.779769
AS40,bglu,3.136337783,AS40,3.92,3.813664122,0.5,0.5,0.1883,0.09415,125,4164.017237
CO165,lap,0.065865127,CO165,4.01,4.163823529,0,1,0.1896,0.1896,125,43.42373885
CO25,lap,0.086015294,CO25,4.24,7.25877551,0.529411765,0.470588235,0.3952,0.185976471,125,57.81329022
AS40,lap,0.099601615,AS40,3.92,3.813664122,0.5,0.5,0.1883,0.09415,125,132.2379376
CO165,nag,5.328625128,CO165,4.01,4.163823529,0,1,0.1896,0.1896,125,3513.070364
CO25,nag,3.095097158,CO25,4.24,7.25877551,0.529411765,0.470588235,0.3952,0.185976471,125,2080.301571
AS40,nag,1.614966621,AS40,3.92,3.813664122,0.5,0.5,0.1883,0.09415,125,2144.140495
CO165,bxyl,0.604876634,CO165,4.01,4.163823529,0,1,0.1896,0.1896,125,398.7847008
CO25,bxyl,0.254237396,CO25,4.24,7.25877551,0.529411765,0.470588235,0.3952,0.185976471,125,170.8800817
AS40,bxyl,0.196968831,AS40,3.92,3.813664122,0.5,0.5,0.1883,0.09415,125,261.5093349
CO165,bcell,5.088510717,CO165,4.01,4.163823529,0,1,0.1896,0.1896,125,3354.767087
CO25,bcell,2.283682284,CO25,4.24,7.25877551,0.529411765,0.470588235,0.3952,0.185976471,125,1534.926886
AS40,bcell,0.970876867,AS40,3.92,3.813664122,0.5,0.5,0.1883,0.09415,125,1289.002744
AS69,phos,1.258980549,AS69,4.02,7.907372263,0.85,0.15,0.36838,0.055257,125,2848.01145
QR83,phos,4.701886409,QR83,4,5.700147059,0.411764706,0.588235294,0.32209,0.189464706,125,3102.085943
QR118,phos,5.32912941,QR118,4.15,3.674479167,0,1,0.23004,0.23004,125,2895.762373
AS69,bglu,1.757291396,AS69,4.02,7.907372263,0.85,0.15,0.36838,0.055257,125,3975.268735
QR83,bglu,8.19800622,QR83,4,5.700147059,0.411764706,0.588235294,0.32209,0.189464706,125,5408.663171
QR118,bglu,6.996554669,QR118,4.15,3.674479167,0,1,0.23004,0.23004,125,3801.814178
AS69,lap,0.082489937,AS69,4.02,7.907372263,0.85,0.15,0.36838,0.055257,125,186.6051741
QR83,lap,0.053444247,QR83,4,5.700147059,0.411764706,0.588235294,0.32209,0.189464706,125,35.26002836
QR118,lap,0.017112556,QR118,4.15,3.674479167,0,1,0.23004,0.23004,125,9.298684823
AS69,nag,1.448525079,AS69,4.02,7.907372263,0.85,0.15,0.36838,0.055257,125,3276.790901
QR83,nag,2.825701221,QR83,4,5.700147059,0.411764706,0.588235294,0.32209,0.189464706,125,1864.266227
QR118,nag,4.089548627,QR118,4.15,3.674479167,0,1,0.23004,0.23004,125,2222.194307
AS69,bxyl,0.071101554,AS69,4.02,7.907372263,0.85,0.15,0.36838,0.055257,125,160.8428657
QR83,bxyl,0.169403653,QR83,4,5.700147059,0.411764706,0.588235294,0.32209,0.189464706,125,111.7646502
QR118,bxyl,0.212421512,QR118,4.15,3.674479167,0,1,0.23004,0.23004,125,115.4263998
AS69,bcell,0.70822217,AS69,4.02,7.907372263,0.85,0.15,0.36838,0.055257,125,1602.109619
QR83,bcell,2.750320591,QR83,4,5.700147059,0.411764706,0.588235294,0.32209,0.189464706,125,1814.533594
QR118,bcell,1.760732045,QR118,4.15,3.674479167,0,1,0.23004,0.23004,125,956.753198
QR102,phos,3.371633041,QR102,4.01,10.35854015,0.705882353,0.294117647,0.34734,0.102158823,125,4125.479501
CO133,phos,4.727282139,CO133,3.89,4.264169884,0.307692308,0.692307692,0.1556,0.107723077,125,5485.456634
QR141,phos,8.96675743,QR141,3.91,4.041368821,0.142857143,0.857142857,0.20592,0.176502857,125,6350.291988
QR102,bglu,4.318395195,QR102,4.01,10.35854015,0.705882353,0.294117647,0.34734,0.102158823,125,5283.92344
CO133,bglu,8.39556714,CO133,3.89,4.264169884,0.307692308,0.692307692,0.1556,0.107723077,125,9742.071261
QR141,bglu,6.661277126,QR141,3.91,4.041368821,0.142857143,0.857142857,0.20592,0.176502857,125,4717.541998
QR102,lap,0.089399018,QR102,4.01,10.35854015,0.705882353,0.294117647,0.34734,0.102158823,125,109.387295
CO133,lap,0.109526579,CO133,3.89,4.264169884,0.307692308,0.692307692,0.1556,0.107723077,125,127.0927524
QR141,lap,0.112865634,QR141,3.91,4.041368821,0.142857143,0.857142857,0.20592,0.176502857,125,79.93187479
QR102,nag,1.41738835,QR102,4.01,10.35854015,0.705882353,0.294117647,0.34734,0.102158823,125,1734.295077
CO133,nag,2.435217994,CO133,3.89,4.264169884,0.307692308,0.692307692,0.1556,0.107723077,125,2825.784945
QR141,nag,9.821629432,QR141,3.91,4.041368821,0.142857143,0.857142857,0.20592,0.176502857,125,6955.715618
QR102,bxyl,0.100690804,QR102,4.01,10.35854015,0.705882353,0.294117647,0.34734,0.102158823,125,123.203754
CO133,bxyl,0.212118998,CO133,3.89,4.264169884,0.307692308,0.692307692,0.1556,0.107723077,125,246.1392252
QR141,bxyl,0.205344983,QR141,3.91,4.041368821,0.142857143,0.857142857,0.20592,0.176502857,125,145.4261045
QR102,bcell,0.792415433,QR102,4.01,10.35854015,0.705882353,0.294117647,0.34734,0.102158823,125,969.5876114
CO133,bcell,1.560075846,CO133,3.89,4.264169884,0.307692308,0.692307692,0.1556,0.107723077,125,1810.285095
QR141,bcell,1.062170853,QR141,3.91,4.041368821,0.142857143,0.857142857,0.20592,0.176502857,125,752.2334705
