SampleID	wet.wt	dry.wt	perc.moist	perc.dry	enz.raw	enz.wt	volume
QR160	2.24	1.094479167	0	1	0.2017	0.2017	125
QR161	2.26	2.206122449	0.083333333	0.916666667	0.1915	0.175541667	125
QR162	2.54	1.094761905	0	1	0.2554	0.2554	125
QR163	2.29	0.4482	-0.142857142	1.142857142	0.218	0.249142857	125
QR164	2.89	1.954402516	0	1	0.2543	0.2543	125
QR165	2.5	0.32	0.133333334	0.866666666	0.264	0.2288	125
QR166	3.97	3.745799257	0.416666667	0.583333333		0	125
QR167	3.99	6.077977941	0.416666667	0.583333333		0	125
QR168	3.29	3.76137931	0.1	0.9	1661	1494.9	125
QR169	5.5	4.036777251	0.111111111	0.888888889	0.18487	0.164328889	125
QR170	1.96	0.586666667	0.200000001	0.799999999	0.2402	0.19216	125
QR171	2.26	1.006701031	0.181818182	0.818181818	0.2053	0.167972727	125
QR172	2.28	0.58040404	0.230769231	0.769230769	0.248	0.190769231	125
QR173	4.42	4.03629393	0.111111111	0.888888889	0.17426	0.154897778	125
QR174	3.85	3.565898438	0	1	0.223	0.223	125
QR175	2	0.730285714	0.066666666	0.933333334	0.2267	0.211586667	125
QR176	4	5.619601329	0.125	0.875		0	125
QR177	1.64	0.111111111	0.499999996	0.500000005		0	125
QR178	4.58	3.551532033	0	1	0.2078	0.2078	125
QR179	2.11	0.70125	0.111111112	0.888888888	0.1979	0.175911111	125
QR180	3.01	3.779069767	0.285714286	0.714285714	0.2501	0.178642857	125
QR181	2.84	0.795194805	0	1	0.4032	0.4032	125
QR182	2.01	0.34	0.2	0.8	0.3186	0.25488	125
QR183	4.45	3.201550633	0.285714286	0.714285714	0.1943	0.138785714	125
QR184	3.43	2.762850467	0	1	0.356	0.356	125
QR185	2.49	1.52	-0.090909091	1.090909091	0.2686	0.293018182	125
QR186	2.53	0.781451613	0.1	0.9	0.2808	0.25272	125
QR187	2.01	0.564657534	0	1	0.2463	0.2463	125
QR188	4.66	3.66754491	0.111111111	0.888888889	0.2214	0.1968	125
QR189	3.19	3.016354167	0	1	0.4122	0.4122	125
QR190			#DIV/0!	#DIV/0!		#DIV/0!	125
QR191	3.98	3.022361624	0	1	0.189	0.189	125
QR192	2.84	1.232987013	0.357142857	0.642857143	0.2003	0.128764286	125
QR193	2.1	1.338536585	0	1	0.1939	0.1939	125
QR194	2.01	2.170985915	0.111111111	0.888888889	0.2579	0.229244444	125
QR195	2.97	2.483452381	0	1	0.2793	0.2793	125
QR196	2.46	0.403220339	0.500000001	0.499999999		0	125
QR197	3.13	2.127567568	0	1	0.3537	0.3537	125
QR198	4.09	2.827304965	0	1	0.268	0.268	125
QR199			#DIV/0!	#DIV/0!		#DIV/0!	125
QR200	3.28	2.427	0	1	0.5744	0.5744	125
QR201	1.78	0.575	0.1	0.9	0.1354	0.12186	125
QR202	4.01	4.048235294	0	1	0.2602	0.2602	125
QR203	2.35	1.058571429	0.111111111	0.888888889	0.2466	0.2192	125
QR204	4.15	3.587237762	0	1	0.204	0.204	125
CO1			#DIV/0!	#DIV/0!		#DIV/0!	125
CO2	3.11	2.045274725	0.111111111	0.888888889	0.3121	0.277422222	125
