"Enzyme","Sample","nmol_per_ml","SampleID","wet.wt","dry.wt","perc.moist","perc.dry","enz.raw","enz.wt","volume","activity"
"phos","AS56","2.8774062816616","AS56",2.25,0.453229167,"0.611111111","0.388888889",0.4146,"0.161233333",125,2230.77808115336
"bglu","AS115","6.94847020933977","AS115",1.99,0.14,"0.090909093","0.909090907",0.4583,"0.416636363",125,2084.69267999892
"bglu","AS59","2.60220125786164","AS59",3.25,0.922538071,"0","1",0.3177,"0.3177",125,1023.84374325686
"bglu","AS56","4.22364672364672","AS56",2.25,0.453229167,"0.611111111","0.388888889",0.4146,"0.161233333",125,3274.48320165806
"lap","AS115","0.0416666666666667","AS115",1.99,0.14,"0.090909093","0.909090907",0.4583,"0.416636363",125,12.5009091761233
"lap","AS59","0.0448994252873563","AS59",3.25,0.922538071,"0","1",0.3177,"0.3177",125,17.6658110195768
"lap","AS56","0.0368809272918862","AS56",2.25,0.453229167,"0.611111111","0.388888889",0.4146,"0.161233333",125,28.5928215072362
"nag","AS115","5.00087966220971","AS115",1.99,0.14,"0.090909093","0.909090907",0.4583,"0.416636363",125,1500.37301899214
"nag","AS59","1.25474533375514","AS59",3.25,0.922538071,"0","1",0.3177,"0.3177",125,493.683244316627
"nag","AS56","2.33799921691464","AS56",2.25,0.453229167,"0.611111111","0.388888889",0.4146,"0.161233333",125,1812.58984526686
"bxyl","AS115","0.278969957081545","AS115",1.99,0.14,"0.090909093","0.909090907",0.4583,"0.416636363",125,83.6970743122417
"bxyl","AS59","0.280524914416128","AS59",3.25,0.922538071,"0","1",0.3177,"0.3177",125,110.373353169707
"bxyl","AS56","0.143255073617191","AS56",2.25,0.453229167,"0.611111111","0.388888889",0.4146,"0.161233333",125,111.061924162722
"bcell","AS115","1.47350721784777","AS115",1.99,0.14,"0.090909093","0.909090907",0.4583,"0.416636363",125,442.08431761625
"bcell","AS59","1.10705151625868","AS59",3.25,0.922538071,"0","1",0.3177,"0.3177",125,435.572677155603
"bcell","AS56","0.60634328358209","AS56",2.25,0.453229167,"0.611111111","0.388888889",0.4146,"0.161233333",125,470.082141437597
"phos","AS43","6.60859044162129","AS43",3,1.278953488,"0.111111111","0.888888889",0.2791,"0.248088889",125,3329.74930289063
"phos","QR16","1.2202852614897","QR16",4.24,3.775878378,"0.1","0.9",0.2145,"0.19305",125,790.135496950078
"phos","CO168","4.6745867768595","CO168",4.29,3.597,"0.333333333","0.666666667",0.6407,"0.427133333",125,1368.01158318271
"bglu","AS43","4.64586201621539","AS43",3,1.278953488,"0.111111111","0.888888889",0.2791,"0.248088889",125,2340.82531615079
"bglu","QR16","3.10959792477302","QR16",4.24,3.775878378,"0.1","0.9",0.2145,"0.19305",125,2013.4666697572
"bglu","CO168","3.82903181756111","CO168",4.29,3.597,"0.333333333","0.666666667",0.6407,"0.427133333",125,1120.56105252535
"lap","AS43","-0.0151656556229585","AS43",3,1.278953488,"0.111111111","0.888888889",0.2791,"0.248088889",125,-7.64124084924179
"lap","QR16","-0.100259933160045","QR16",4.24,3.775878378,"0.1","0.9",0.2145,"0.19305",125,-64.9183716395008
"lap","CO168","-0.0542970574497898","CO168",4.29,3.597,"0.333333333","0.666666667",0.6407,"0.427133333",125,-15.8899614168574
"nag","AS43","1.06726044226044","AS43",3,1.278953488,"0.111111111","0.888888889",0.2791,"0.248088889",125,537.740951722167
"nag","QR16","1.30198706099815","QR16",4.24,3.775878378,"0.1","0.9",0.2145,"0.19305",125,843.037465033767
"nag","CO168","2.91033172080166","CO168",4.29,3.597,"0.333333333","0.666666667",0.6407,"0.427133333",125,851.704694983867
"bxyl","AS43","0.311269146608315","AS43",3,1.278953488,"0.111111111","0.888888889",0.2791,"0.248088889",125,156.833478044393
"bxyl","QR16","0.121189864120455","QR16",4.24,3.775878378,"0.1","0.9",0.2145,"0.19305",125,78.4705154885101
"bxyl","CO168","0.246592199924271","CO168",4.29,3.597,"0.333333333","0.666666667",0.6407,"0.427133333",125,72.1648782923104
"bcell","AS43","1.41031291317761","AS43",3,1.278953488,"0.111111111","0.888888889",0.2791,"0.248088889",125,710.588510665632
"bcell","QR16","0.684477379095164","QR16",4.24,3.775878378,"0.1","0.9",0.2145,"0.19305",125,443.199546163665
"bcell","CO168","1.34359656301146","CO168",4.29,3.597,"0.333333333","0.666666667",0.6407,"0.427133333",125,393.201741472217
"phos","CO92","1.30203847258111","CO92",2.31,0.48,"0.166666667","0.833333333",0.2841,"0.23675",125,687.454314984747
"phos","AS23","4.43125618199802","AS23",3,1.028901734,"0","1",0.252,"0.252",125,2198.04374107045
"phos","QR200","11.8527241325169","QR200",3.28,2.427,"0","1",0.5744,"0.5744",125,2579.37067647043
"bglu","CO92","3.1431614179218","CO92",2.31,0.48,"0.166666667","0.833333333",0.2841,"0.23675",125,1659.53612350676
"bglu","AS23","4.92725298588491","AS23",3,1.028901734,"0","1",0.252,"0.252",125,2444.07390172863
"bglu","QR200","6.75615212527964","QR200",3.28,2.427,"0","1",0.5744,"0.5744",125,1470.26291027151
"lap","CO92","0.0426136363636364","CO92",2.31,0.48,"0.166666667","0.833333333",0.2841,"0.23675",125,22.4992800230393
"lap","AS23","0.0442339716902581","AS23",3,1.028901734,"0","1",0.252,"0.252",125,21.9414542114375
"lap","QR200","0.0299467613132209","QR200",3.28,2.427,"0","1",0.5744,"0.5744",125,6.51696581502892
"nag","CO92","601.442307692308","CO92",2.31,0.48,"0.166666667","0.833333333",0.2841,"0.23675",125,317551.37681748
"nag","AS23","557.083333333333","AS23",3,1.028901734,"0","1",0.252,"0.252",125,276331.018518518
"nag","QR200","573.482142857143","QR200",3.28,2.427,"0","1",0.5744,"0.5744",125,124800.25741146
"bxyl","CO92","0.109639104613979","CO92",2.31,0.48,"0.166666667","0.833333333",0.2841,"0.23675",125,57.8875948331463
"bxyl","AS23","0.229139645482058","AS23",3,1.028901734,"0","1",0.252,"0.252",125,113.660538433561
"bxyl","QR200","0.248237976782753","QR200",3.28,2.427,"0","1",0.5744,"0.5744",125,54.021147454464
"bcell","CO92","0.167499207104345","CO92",2.31,0.48,"0.166666667","0.833333333",0.2841,"0.23675",125,88.4367513750502
"bcell","AS23","0.624367835468645","AS23",3,1.028901734,"0","1",0.252,"0.252",125,309.706267593574
"bcell","QR200","0.697295536005213","QR200",3.28,2.427,"0","1",0.5744,"0.5744",125,151.744327995563
"phos","QR7","3.63034779932287","QR7",3.22,2.8209375,"0.1","0.9",0.2204,"0.19836",125,2287.7267337939
"phos","CO111","1.66181566181566","CO111",2.92,0.930184049,"0.076923077","0.923076923",0.2491,"0.229938462",125,903.402396972445
"phos","QR37","7.45041401887156","QR37",3.51,1.977678571,"0.111111111","0.888888889",0.3282,"0.291733333",125,3192.30491347022
"bglu","QR7","3.1864406779661","QR7",3.22,2.8209375,"0.1","0.9",0.2204,"0.19836",125,2007.99094951483
"bglu","CO111","4.18258160639306","CO111",2.92,0.930184049,"0.076923077","0.923076923",0.2491,"0.229938462",125,2273.75053417176
"bglu","QR37","6.1963261963262","QR37",3.51,1.977678571,"0.111111111","0.888888889",0.3282,"0.291733333",125,2654.96152453986
