"Enzyme","Sample","nmol_per_ml","SampleID","wet.wt","dry.wt","perc.moist","perc.dry","enz.raw","enz.wt","volume","activity"
"bglu","QR11","5.29365079365079","QR11",5.04,3.323660477,"0.333333333","0.666666667",0.2149,"0.143266667",125,4618.70414844193
"bglu","CO179","17.1762026757757","CO179",4.92,3.687768595,"0.428571429","0.571428571",0.3238,"0.185028571",125,11603.7502903914
"lap","CO144","0.0659403669724771","CO144",3.75,3.627909836,"0","1",0.1934,"0.1934",125,42.61916169369
"lap","QR11","0.09107027724049","QR11",5.04,3.323660477,"0.333333333","0.666666667",0.2149,"0.143266667",125,79.4587107625059
"lap","CO179","0.0241023936170213","CO179",4.92,3.687768595,"0.428571429","0.571428571",0.3238,"0.185028571",125,16.2828863988128
"nag","CO144","5.42555894308943","CO144",3.75,3.627909836,"0","1",0.1934,"0.1934",125,3506.69528379617
"nag","QR11","2.03609931394969","QR11",5.04,3.323660477,"0.333333333","0.666666667",0.2149,"0.143266667",125,1776.49427862876
"nag","CO179","3.20306891600861","CO179",4.92,3.687768595,"0.428571429","0.571428571",0.3238,"0.185028571",125,2163.90156578076
"bxyl","CO144","0.350237953599048","CO144",3.75,3.627909836,"0","1",0.1934,"0.1934",125,226.368894518516
"bxyl","QR11","0.153326403326403","QR11",5.04,3.323660477,"0.333333333","0.666666667",0.2149,"0.143266667",125,133.777108221554
"bxyl","CO179","0.725123500352858","CO179",4.92,3.687768595,"0.428571429","0.571428571",0.3238,"0.185028571",125,489.872656175393
"bcell","CO144","2.29838709677419","CO144",3.75,3.627909836,"0","1",0.1934,"0.1934",125,1485.51389398539
"bcell","QR11","0.808747412008282","QR11",5.04,3.323660477,"0.333333333","0.666666667",0.2149,"0.143266667",125,705.631174493892
"bcell","CO179","3.32477535301669","CO179",4.92,3.687768595,"0.428571429","0.571428571",0.3238,"0.185028571",125,2246.12294674797
"phos","CO155","7.01333333333333","CO155",4.7,3.563647059,"0.1","0.9",0.2278,"0.20502",125,4276.00559295028
"phos","QR1","4.47697111631538","QR1",4.6,3.07373494,"0","1",0.2026,"0.2026",125,2762.19836890139
"phos","QR126","4.00196656833825","QR126",1.46,0.06,"0.285714283","0.714285717",0.2249,"0.160642858",125,3114.02465861434
"bglu","CO155","20","CO155",4.7,3.563647059,"0.1","0.9",0.2278,"0.20502",125,12193.9322992879
"bglu","QR1","4.41595441595442","QR1",4.6,3.07373494,"0","1",0.2026,"0.2026",125,2724.5523296856
"bglu","QR126","5.02397173858188","QR126",1.46,0.06,"0.285714283","0.714285717",0.2249,"0.160642858",125,3909.27100738419
"lap","CO155","0.0495049504950495","CO155",4.7,3.563647059,"0.1","0.9",0.2278,"0.20502",125,30.1830007408116
"lap","QR1","0.0428370786516854","QR1",4.6,3.07373494,"0","1",0.2026,"0.2026",125,26.4295894938829
"lap","QR126","-0.0803319209039548","QR126",1.46,0.06,"0.285714283","0.714285717",0.2249,"0.160642858",125,-62.5081639981427
"nag","CO155","3.65453296703297","CO155",4.7,3.563647059,"0.1","0.9",0.2278,"0.20502",125,2228.15637927578
"nag","QR1","1.56179775280899","QR1",4.6,3.07373494,"0","1",0.2026,"0.2026",125,963.596836629436
"nag","QR126","1.58808368708308","QR126",1.46,0.06,"0.285714283","0.714285717",0.2249,"0.160642858",125,1235.72540576553
"bxyl","CO155","0.862961926091825","CO155",4.7,3.563647059,"0.1","0.9",0.2278,"0.20502",125,526.144965181339
"bxyl","QR1","0.142898383371824","QR1",4.6,3.07373494,"0","1",0.2026,"0.2026",125,88.1653401849852
"bxyl","QR126","0.103318722604884","QR126",1.46,0.06,"0.285714283","0.714285717",0.2249,"0.160642858",125,80.3947370359316
"bcell","CO155","3.78076194983436","CO155",4.7,3.563647059,"0.1","0.9",0.2278,"0.20502",125,2305.11776280019
"bcell","QR1","0.875220458553792","QR1",4.6,3.07373494,"0","1",0.2026,"0.2026",125,539.99287916695
"bcell","QR126","0.326196473551637","QR126",1.46,0.06,"0.285714283","0.714285717",0.2249,"0.160642858",125,253.82117637595
"phos","AS28","5.3761429758936","AS28",5.34,2.420965347,"0","1",0.2692,"0.2692",125,2496.35167899963
