Bag ID,Species,Date Deployed,Date Collected,Date Processsed,Harvest,Time.mo,Bag weight,InitialLeafWeight,TotalLeafWeight,Tin #,EmptyTinWght,WetLeafTin,DryLeafTin,AFDMTin,LeafTinAFDM,AFDMLeafTinAshed,DryWeightTin,TotDryWeight,perc.moist,soilg,dryweightsoil,PropInitial,perc.dry,enz.raw,enz.wt
CO156,CAROVA,19-Dec-17,14-Jan-19,15-Jan-19,H2,1.0,6.52,4.98,5.16,93,1.27,2.77,1.51,1.29,1.39,1.31,0.24,0.8256,0.2,0.16512,0.66048,0.106101205,0.8,0.2442,0.19536
CO157,CAROVA,19-Dec-17,17-Jun-18,18-Jun-18,H1,0.5,7.51,5.09,10.81,121,1.26,4,2.19,1.28,1.34,1.28,0.93,3.669087591,0,0,3.669087591,0.720842356,1,0.1603,0.1603
CO158,CAROVA,19-Dec-17,13-Jun-18,13-Jun-18,H1,0.5,7.22,5.05,20.46,76,1.29,5.3,2.09,1.28,1.37,1.28,0.8,4.081795511,0,0,4.081795511,0.808276339,1,0.1617,0.1617
CO159,CAROVA,19-Dec-17,14-Jan-19,15-Jan-19,H2,1.0,7.69,4.96,0.79,200,1.29,2.27,1.48,1.3,1.46,1.37,0.19,0.153163265,0.437499997,0.067008929,0.086154337,0.009770527,0.562500003,,0
CO16,CAROVA,19-Dec-17,13-Jun-18,14-Jun-18,H1,0.5,7.78,4.94,10.32,106,1.3,4.12,2.02,1.28,1.36,1.28,0.72,2.634893617,0,0,2.634893617,0.533379275,1,0.18014,0.18014
CO160,CAROVA,19-Dec-17,18-Jun-19,20-Jun-19,H3,1.5,7.36,5.02,1.41,122,1.27,1.68,1.4,1.27,1.37,1.31,0.13,0.447073171,0.400000001,0.178829268,0.268243902,0.032061024,0.599999999,,0
CO161,CAROVA,19-Dec-17,17-Jun-18,18-Jun-18,H1,0.5,7.64,4.99,14.42,81,1.28,4.03,2.1,1.29,1.45,1.35,0.82,4.299781818,0.375,1.612418182,2.687363636,0.336593642,0.625,0.236,0.1475
CO162,CAROVA,19-Dec-17,24-Jun-19,25-Jun-19,H3,1.5,6.99,4.93,13.56,309,1.28,5.85,2.02,1.29,1.42,1.29,0.74,2.19571116,0,0,2.19571116,0.445377517,1,0.3807,0.3807
CO163,CAROVA,19-Dec-17,24-Jun-19,25-Jun-19,H3,1.5,8.02,4.94,3.2,313,1.29,2.82,1.67,1.29,1.48,1.39,0.38,0.794771242,0.52631579,0.418300654,0.376470588,0.03609882,0.47368421,,0
CO164,CAROVA,19-Dec-17,14-Jan-19,15-Jan-19,H2,1.0,6.79,4.98,2.55,63,1.3,2.13,1.52,1.3,1.42,1.33,0.22,0.675903614,0.249999999,0.168975904,0.506927711,0.076344535,0.750000001,0.2456,0.1842
CO165,CAROVA,19-Dec-17,17-Jun-18,18-Jun-18,H1,0.5,7.28,5.04,10.89,56,1.29,4.01,2.33,1.3,1.37,1.3,1.04,4.163823529,0,0,4.163823529,0.826155462,1,0.1896,0.1896
