Sample,bcell,bglu,bxyl,lap,nag,phos
QR193,83.59113697,840.0529089,43.60434298,-24.39517591,260.8050611,1187.556516
QR194,177.4248223,1423.146503,55.33255664,18.08680206,220.7671502,1474.388352
QR195,401.8600019,1901.735901,138.5158196,11.63180228,589.1743418,1818.347375
QR197,238.0906484,1113.342135,62.6889006,13.05847199,388.6578574,1247.339283
QR198,408.19103,2561.924779,121.9547505,23.43066078,725.3221341,1584.322212
QR2,619.8640263,2392.975719,82.99184874,30.48798992,855.4594161,4323.276269
QR20,641.6275128,1375.982648,140.7441649,-16.56694993,796.0391669,3378.851053
QR200,151.744328,1470.26291,54.02114745,6.516965815,124800.2574,2579.370676
QR201,680.1023818,2775.201688,106.6898379,-45.00317457,732.569924,1691.408622
QR202,1083.466574,3654.271881,396.6804031,131.4931398,1225.440619,1077.012304
QR203,139.987706,791.325974,73.14795353,7.200195385,775.0222935,2662.765197
QR204,5035.042472,10984.26052,267.3115286,54.85586135,1881.252666,7710.870194
QR22,447.823301,1542.149342,151.2558104,13.5840687,690.0493362,3402.549894
QR23,159.349144,1473.137742,44.27080262,36.66016406,344.0079903,1918.932864
QR25,708.4012938,3927.008807,190.6606645,30.47414475,2206.840922,5041.723745
QR27,206.0726728,1848.042774,36.2386211,9.835075736,784.9584416,2328.520634
QR28,0,0,0,,0,0
QR29,328.1718465,2275.010386,110.4889504,28.59094393,768.0392841,2521.923578
QR3,410.4839595,1419.45101,154.0686269,-39.42281292,889.0854064,2815.412372
QR30,460.9255179,2190.628649,91.20283511,17.96399968,,3220.531497
QR31,333.7767332,2290.401718,127.8902014,19.77967713,1162.589092,2945.875767
QR32,374.6474958,1313.682874,74.49936427,133.666749,899.7230916,2435.054574
QR34,1016.020696,4771.960691,251.2566661,16.60981365,1841.677649,7076.350093
QR36,365.6573294,2240.788325,96.97533634,41.71534682,1166.772332,3046.128436
QR37,635.2589382,2654.961525,158.7468546,17.20180059,1437.483299,3192.304913
QR38,480.0394855,3273.131805,145.6620637,-10.57805249,810.675517,1849.331788
QR39,530.0450579,3497.41908,124.4459761,-13.39278757,720.8183528,3033.00972
QR4,205.1286025,1752.346358,103.2630839,9.936249026,1377.734042,3998.060851
QR41,529.7904475,4178.108028,147.3536402,63.8504117,1031.122543,3509.404072
QR42,511.154059,3355.849523,109.1843877,4.075593625,399.0506474,1250.028711
QR43,376.5630408,1226.668838,72.47438534,11.88205699,525.208264,1970.183113
QR44,-1162.945827,4231.854314,185.026844,68.85506761,1194.818643,4155.833368
QR46,198.1846124,945.3482127,54.93740288,30.72621017,653.4237548,2032.946872
QR47,257.6267208,2534.027603,94.66687691,37.3991374,1146.907914,2656.389104
QR48,1626.530013,3198.650567,142.1333124,28.92571551,1025.982193,4116.682841
QR49,380.6313939,1812.954222,74.0887421,44.53143773,869.1233984,1531.675265
QR50,120.8980582,955.2381983,54.29375545,42.49619234,271.7061387,1253.328251
QR51,1477.451294,9143.781877,331.7106612,-25.95103024,2838.339459,7092.548519
QR52,265.6418608,1581.812633,85.71479876,34.8228766,935.0730346,1686.759267
QR53,179.4095347,1487.895898,93.16842812,33.1352001,512.5036714,1172.172165
QR54,1675.745351,6710.258296,298.6097604,10.23811899,2495.488548,7413.412021
QR55,287.9724403,1448.647544,104.9887668,5.641298564,1018.783506,2239.602695
QR56,432.8443217,2404.68139,93.02954976,55.46658909,499.6262115,1385.935122
QR57,320.4404241,2210.283709,111.2319557,17.94207419,1114.865112,4116.156576
QR58,797.1692182,3074.335132,143.5056828,140.9635492,2483.321973,3169.329693
QR59,900.8840477,3123.758601,130.8799244,35.84388473,1473.4714,2716.788895
QR6,231.0512696,2110.500593,62.54764192,39.41865544,838.2090163,2863.443164
QR62,230.1439429,1633.557358,69.10398645,-38.96716114,540.3471415,3001.173891
QR63,451.6328643,2679.937877,95.85536282,66.62402729,991.2750568,5497.364428
QR64,384.0440877,843.5977432,84.45762859,23.01345456,882.7061365,3470.383337
QR67,504.7435147,4119.652877,146.5962875,144.9554337,1455.662388,4415.884879
QR68,104.5981165,1177.056634,46.90142113,16.14755763,417.6008463,1073.801579
QR69,510.3389532,2758.680956,73.21856059,59.72764195,1117.69636,2546.72138
QR7,378.5135683,2007.99095,118.850755,752.6999171,693.6208339,2287.726734
QR70,622.0311798,2619.280572,132.8559867,79.16031088,1103.191273,5812.410023
QR72,383.5628039,2414.559632,83.04563437,66.06206663,799.1111161,1716.351034
QR73,1275.759821,1955.486128,123.4906035,37.74496935,708.6919701,1917.850248
QR74,91.16854873,805.4747485,38.97991697,21.73815991,319.9127247,778.7431415
QR76,383.8927425,3829.246359,168.1346277,-111.6536655,1147.578929,2926.058569
QR77,647.585306,2896.724498,157.1267073,39.05055045,2647.731434,5822.050592
QR78,589.3919067,1948.124274,133.4133838,-1.636533298,667.915799,3880.511112
QR79,0.067400037,0.232117805,0.012860968,0.001904833,0.048977031,0.092671604
QR81,732.2393578,4215.976824,148.3544411,29.06399698,1801.479561,5105.019921
QR82,364.7995431,2207.575581,111.1503819,-9.41945985,1327.777297,1752.505402
QR83,1812.700498,5289.951133,111.5163226,-17.14140116,1861.635485,3066.786592
QR86,323.0211707,2034.948547,109.486555,-6.801000167,1125.682918,1451.281961
QR87,,1583.674782,36.60234751,25.75017543,688.4967137,1356.178253
QR88,384.5618712,2485.827608,2168.959994,38.1953038,1089.1419,2047.60575
QR9,140.2241026,1075.416239,37.44794338,-14.55605069,643.7989287,
QR90,804.0783266,5046.438969,147.6896279,5.685674103,1477.70195,3499.529542
QR91,333.1232576,1671.112223,88.64913916,0.856175326,677.0624158,2004.169465
QR92,244.1835221,1384.906084,50.25680513,17.55886669,672.6850409,1609.338899
QR94,342.3969873,1023.522649,76.73180311,36.23447088,647.0304846,1014.491652
QR95,668.0667582,2300.517236,136.2779116,33.13982475,1631.662783,2476.280909
QR96,693.8161507,3199.487051,168.925188,74.72985399,1290.15416,3482.573349
QR97,,811.4611673,28.72021744,21.94958269,284.1910787,755.1825113
QR98,160.9484888,1357.472022,44.37098153,-61.70258704,291.9400204,423.0306798
QR99,124.8183657,395.3855522,47.63585437,-2.654884127,339.2688729,508.4243715
